Name,Tag,File,File Name,Long Name
 view,File Format,https://wentin.github.io/vscode-icons/icons/file_type_view.svg,file_type_view.svg,file type view
 word,File Format,https://wentin.github.io/vscode-icons/icons/file_type_word.svg,file_type_word.svg,file type word
 azurepipelines,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_azurepipelines.svg,folder_type_azurepipelines.svg,folder type azurepipelines
 cli,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_cli.svg,folder_type_cli.svg,folder type cli
 meteor,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_meteor.svg,folder_type_meteor.svg,folder type meteor
 nuxt,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_nuxt.svg,folder_type_nuxt.svg,folder type nuxt
 razzle,File Format,https://wentin.github.io/vscode-icons/icons/file_type_razzle.svg,file_type_razzle.svg,file type razzle
 fonts opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_fonts_opened.svg,folder_type_fonts_opened.svg,folder type fonts opened
 serverless,File Format,https://wentin.github.io/vscode-icons/icons/file_type_serverless.svg,file_type_serverless.svg,file type serverless
 composer,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_composer.svg,folder_type_composer.svg,folder type composer
 xmake,File Format,https://wentin.github.io/vscode-icons/icons/file_type_xmake.svg,file_type_xmake.svg,file type xmake
 yacc,File Format,https://wentin.github.io/vscode-icons/icons/file_type_yacc.svg,file_type_yacc.svg,file type yacc
 pyup,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pyup.svg,file_type_pyup.svg,file type pyup
 stencil,File Format,https://wentin.github.io/vscode-icons/icons/file_type_stencil.svg,file_type_stencil.svg,file type stencil
 processinglang,File Format,https://wentin.github.io/vscode-icons/icons/file_type_processinglang.svg,file_type_processinglang.svg,file type processinglang
 vagrant,File Format,https://wentin.github.io/vscode-icons/icons/file_type_vagrant.svg,file_type_vagrant.svg,file type vagrant
 minikube opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_minikube_opened.svg,folder_type_minikube_opened.svg,folder type minikube opened
 sln2,File Format,https://wentin.github.io/vscode-icons/icons/file_type_sln2.svg,file_type_sln2.svg,file type sln2
 snyk,File Format,https://wentin.github.io/vscode-icons/icons/file_type_snyk.svg,file_type_snyk.svg,file type snyk
 dist opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_dist_opened.svg,folder_type_dist_opened.svg,folder type dist opened
 red,File Format,https://wentin.github.io/vscode-icons/icons/file_type_red.svg,file_type_red.svg,file type red
 text,File Format,https://wentin.github.io/vscode-icons/icons/file_type_text.svg,file_type_text.svg,file type text
 pony,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pony.svg,file_type_pony.svg,file type pony
 binary,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_binary.svg,folder_type_binary.svg,folder type binary
 qsharp,File Format,https://wentin.github.io/vscode-icons/icons/file_type_qsharp.svg,file_type_qsharp.svg,file type qsharp
 wallaby,File Format,https://wentin.github.io/vscode-icons/icons/file_type_wallaby.svg,file_type_wallaby.svg,file type wallaby
 typescript,File Format,https://wentin.github.io/vscode-icons/icons/file_type_typescript.svg,file_type_typescript.svg,file type typescript
 rake,File Format,https://wentin.github.io/vscode-icons/icons/file_type_rake.svg,file_type_rake.svg,file type rake
 less,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_less.svg,folder_type_less.svg,folder type less
 ravendb opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_ravendb_opened.svg,folder_type_ravendb_opened.svg,folder type ravendb opened
 flow,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_flow.svg,folder_type_flow.svg,folder type flow
 prometheus,File Format,https://wentin.github.io/vscode-icons/icons/file_type_prometheus.svg,file_type_prometheus.svg,file type prometheus
 wxml,File Format,https://wentin.github.io/vscode-icons/icons/file_type_wxml.svg,file_type_wxml.svg,file type wxml
 nuxt,File Format,https://wentin.github.io/vscode-icons/icons/file_type_nuxt.svg,file_type_nuxt.svg,file type nuxt
 protractor,File Format,https://wentin.github.io/vscode-icons/icons/file_type_protractor.svg,file_type_protractor.svg,file type protractor
 light expo opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_expo_opened.svg,folder_type_light_expo_opened.svg,folder type light expo opened
 git opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_git_opened.svg,folder_type_git_opened.svg,folder type git opened
 cypress,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_cypress.svg,folder_type_cypress.svg,folder type cypress
 light electron opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_electron_opened.svg,folder_type_light_electron_opened.svg,folder type light electron opened
 testjs,File Format,https://wentin.github.io/vscode-icons/icons/file_type_testjs.svg,file_type_testjs.svg,file type testjs
 idea,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_idea.svg,folder_type_idea.svg,folder type idea
 gitlab,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_gitlab.svg,folder_type_gitlab.svg,folder type gitlab
 script,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_script.svg,folder_type_script.svg,folder type script
 mariadb,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_mariadb.svg,folder_type_mariadb.svg,folder type mariadb
 word2,File Format,https://wentin.github.io/vscode-icons/icons/file_type_word2.svg,file_type_word2.svg,file type word2
 stan,File Format,https://wentin.github.io/vscode-icons/icons/file_type_stan.svg,file_type_stan.svg,file type stan
 binary opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_binary_opened.svg,folder_type_binary_opened.svg,folder type binary opened
 json,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_json.svg,folder_type_json.svg,folder type json
 vscode3,File Format,https://wentin.github.io/vscode-icons/icons/file_type_vscode3.svg,file_type_vscode3.svg,file type vscode3
 typescriptdef,File Format,https://wentin.github.io/vscode-icons/icons/file_type_typescriptdef.svg,file_type_typescriptdef.svg,file type typescriptdef
 pdf,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pdf.svg,file_type_pdf.svg,file type pdf
 light node,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_node.svg,folder_type_light_node.svg,folder type light node
 hook opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_hook_opened.svg,folder_type_hook_opened.svg,folder type hook opened
 mysql,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_mysql.svg,folder_type_mysql.svg,folder type mysql
 css,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_css.svg,folder_type_css.svg,folder type css
 audio,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_audio.svg,folder_type_audio.svg,folder type audio
 debian opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_debian_opened.svg,folder_type_debian_opened.svg,folder type debian opened
 nuget,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_nuget.svg,folder_type_nuget.svg,folder type nuget
 t4tt,File Format,https://wentin.github.io/vscode-icons/icons/file_type_t4tt.svg,file_type_t4tt.svg,file type t4tt
 testcafe,File Format,https://wentin.github.io/vscode-icons/icons/file_type_testcafe.svg,file_type_testcafe.svg,file type testcafe
 verilog,File Format,https://wentin.github.io/vscode-icons/icons/file_type_verilog.svg,file_type_verilog.svg,file type verilog
